Date,^GSPC
1971-05-31,101.64250030517579
1971-06-30,99.66636310924183
1971-07-31,98.97571418398903
1971-08-31,97.24045493386008
1971-09-30,99.3961900983538
1971-10-31,97.29380907331195
1971-11-30,92.77952466692243
1971-12-31,99.16909061778675
1972-01-31,103.29857090541294
1972-02-29,105.24299964904785
1972-03-31,107.69045396284623
1972-04-30,108.81100044250488
1972-05-31,107.64545440673828
1972-06-30,108.0104550448331
1972-07-31,107.20699958801269
1972-08-31,111.00739188816236
1972-09-30,109.38950119018554
1972-10-31,109.56272714788264
1972-11-30,115.04699974060058
1972-12-31,117.49736866198089
1973-01-31,118.42190515427362
1973-02-28,114.1642114739669
1973-03-31,112.41545417092063
1973-04-30,110.27399978637695
1973-05-31,107.21954588456587
1973-06-30,104.75476183210101
1973-07-31,105.83428519112724
1973-08-31,103.79956519085428
1973-09-30,105.60526355944182
1973-10-31,109.8443484099015
1973-11-30,102.03285725911458
1973-12-31,94.78400001525878
1974-01-31,96.1100002635609
1974-02-28,93.45315872995477
1974-03-31,97.43904731387184
1974-04-30,92.45619092668805
1974-05-31,89.66727308793502
1974-06-30,89.78649940490723
1974-07-31,82.81909075650302
1974-08-31,76.02500048550692
1974-09-30,68.12299957275391
1974-10-31,69.43565169624661
1974-11-30,71.7370002746582
1974-12-31,67.07333337692987
1975-01-31,72.56409107555042
1975-02-28,80.09684191252056
1975-03-31,83.83199920654297
1975-04-30,84.72318198464133
1975-05-31,90.09619031633649
1975-06-30,92.3971434093657
1975-07-31,92.48727312954989
1975-08-31,85.71380942208427
1975-09-30,84.67238071986607
1975-10-31,88.57434778628142
1975-11-30,90.06526344700863
1975-12-31,88.70045471191406
1976-01-31,96.8595235915411
1976-02-29,100.63947416606702
1976-03-31,101.08434793223505
1976-04-30,101.92952364966983
1976-05-31,101.16199913024903
1976-06-30,101.76681795987216
1976-07-31,104.2009528023856
1976-08-31,103.29181844537908
1976-09-30,105.45333317347935
1976-10-31,101.88523755754743
1976-11-30,101.19349975585938
1976-12-31,104.66090843894266
1977-01-31,103.81333305722191
1977-02-28,100.95578926487973
1977-03-31,100.56956481933594
1977-04-30,99.05000076293945
1977-05-31,98.76047588530041
1977-06-30,99.28590947931463
1977-07-31,100.17842021741365
1977-08-31,97.75000033171281
1977-09-30,96.23238045828683
1977-10-31,93.73952302478608
1977-11-30,94.28333391462054
1977-12-31,93.82047671363468
1978-01-31,90.24952298118954
1978-02-28,88.97526349519428
1978-03-31,88.81954539905895
1978-04-30,92.7104995727539
1978-05-31,97.41227306019177
1978-06-30,97.66181807084517
1978-07-31,97.19249992370605
1978-08-31,103.92173999288808
1978-09-30,103.85699996948242
1978-10-31,100.58363515680486
1978-11-30,94.70952315557571
1978-12-31,96.10749969482421
1979-01-31,99.70500113747336
1979-02-28,98.2294737163343
1979-03-31,100.11227278275923
1979-04-30,102.06600036621094
1979-05-31,99.727727023038
1979-06-30,101.72761862618583
1979-07-31,102.71142832438152
1979-08-31,107.35608639924422
1979-09-30,108.59684231406764
1979-10-31,104.47304269541864
1979-11-30,103.66381000337147
1979-12-31,107.7759994506836
1980-01-31,110.86818140203303
1980-02-29,115.33900108337403
1980-03-31,104.68619065057663
1980-04-30,102.96666753859748
1980-05-31,107.69428543817429
1980-06-30,114.54666646321614
1980-07-31,119.83272760564631
1980-08-31,123.49666631789435
1980-09-30,126.51190294538226
1980-10-31,130.22173840066662
1980-11-30,135.6544426812066
1980-12-31,133.48318204012784
1981-01-31,132.96571277436755
1981-02-28,128.3952656796104
1981-03-31,133.18499963933772
1981-04-30,134.42761811755952
1981-05-31,131.72700042724608
1981-06-30,132.2777293812145
1981-07-31,129.1277268149636
1981-08-31,129.62952314104353
1981-09-30,118.26952398390998
1981-10-31,119.79772706465288
1981-11-30,122.9194995880127
1981-12-31,123.79409096457742
1982-01-31,117.27650032043456
1982-02-28,114.49526335063733
1982-03-31,110.84217370074728
1982-04-30,116.30714343843006
1982-05-31,116.35299949645996
1982-06-30,109.69772720336914
